(0.0000000000000000,0.0000000000000000)
(0.0000000000000000,0.0000000000000000)
(0.0000000000000000,0.0000000000000000)
(0.0000000000000000,0.0000000000000000)
(-0.0271850861543569,0.0847889166875055)
(0.0750503346353798,0.0900052007027434)
(0.1391568489377862,-0.1430811175310252)
(-0.2277279514649775,-0.5017505965620424)
(-0.6575652283365788,-0.8456919703330023)
(-0.6119302553710313,-0.9789615382126519)
(0.1046294739165474,-0.5907706427938158)
(0.7584124946696126,0.0959545458243847)
(0.8278802173638393,0.7205019970237058)
(0.7089585933390751,0.8367339574209350)
(0.8146783018032326,0.7190684704129156)
(0.7662265050343300,0.6172530579537467)
(0.2761632710553474,0.6701661572638635)
(-0.4982143366428258,0.8720338329075679)
(-0.8454979813095813,0.8913021989208499)
(-0.8010409228857853,0.2928416903058737)
(-0.6670946040628589,-0.5462684649167523)
(-0.6824381645597950,-0.6641450447755183)
(-0.7038899592293693,-0.0249628453319252)
(-0.7437264004322246,0.7911900192359693)
(-0.7015748056982619,0.9221185640819283)
(-0.7257508259118187,0.7071067811865475)
(-0.7113430741465943,0.6239376737173221)
(-0.6358613217823486,0.6940897955607102)
(-0.7064365555590100,0.9170498650985517)
(-0.7061761140115791,0.8652293272051830)
(-0.6427153537022146,0.2235007340251174)
(-0.8368011754537578,-0.5461648969084205)
(-0.8477576718604982,-0.6216864621180258)
(-0.5193178952471796,0.0939642802389565)
(0.2518754149731646,0.9158761981712604)
(0.7730217785683220,1.1409285309812873)
(0.7971907431627537,0.5980543509647837)
(0.7087463769782717,-0.2813246656026503)
(0.8081986851215868,-0.7116090817232091)
(0.7466557796156106,-0.0424617922640436)
(0.1869557382935075,0.6705234796185549)
(-0.5455626050807153,0.5296084491392096)
(-0.8760162803754665,-0.3470010379681843)
(-0.7860048740059324,-0.9564129928351181)
(-0.6617780168370703,-0.8666964837923940)
(-0.6871323754100932,-0.7148177247867182)
(-0.7007443048988611,-0.8209901124367317)
(-0.7429389910374279,-0.5855406969197290)
(-0.6960428302099768,0.1374689733413908)
(-0.7267357651943125,0.7324962628146241)
(-0.7071067811865474,0.7941522627910032)
(-0.6307019648389439,0.7059262712674365)
(-0.6770064548439482,0.8620098833478671)
(-0.8945206544586590,0.8306850419310369)
(-0.8064204096762907,0.2826332022181981)
(-0.3631932934475907,-0.4616575205511090)
(0.4340419500390384,-0.8660666837592561)
(0.8202267070959523,-0.8082160239497146)
(0.7636458303108816,-0.7586466372439822)
(0.7205179919319923,-0.9184483625682463)
(0.8304515014893991,-0.5602974537808789)
(0.6477885150400883,0.3176538020178812)
(-0.0143203804703664,0.6941183356475176)
(-0.6846159163907988,0.0398388378316309)
(-0.8797668825899437,-0.6681414445694596)
(-0.7412223929607381,-0.1940721758773031)
(-0.6575831062771034,0.6378630401787317)
(-0.6400608844895496,0.3823119112020091)
(-0.8298415680538758,-0.5165246099536281)
(-0.8745528235567794,-0.6726637380648548)
(-0.4676815555777982,0.1043593260669764)
(0.1776818209532524,0.9291143016846868)
(0.8625946914497807,1.0647720356600907)
(1.0292369087351356,0.6020130159360542)
(0.6527345157934532,-0.0592049077618189)
(0.0195503933099981,-0.7071067811865486)
(-0.6535833812366694,-1.0912754610793820)
(-1.0620180524143183,-0.8258956940961958)
(-0.8274307821569815,0.0675893890856900)
(-0.2459691119916430,0.7140764718640545)
(0.4498048865716798,0.3064790142754535)
(0.9310346280191549,-0.5597846308393609)
(0.9403492897689751,-0.6332981577787851)
(0.4775323097628760,0.1314934429100941)
(-0.2160763971911918,0.8665119840701232)
(-0.8073767819952435,0.9385723945661598)
(-1.0779041711129285,0.7053360163078807)
(-0.6729858218639044,0.7983882062073280)
(0.1918365110251286,0.7272148993149777)
(0.6969087748664019,-0.1059289238094589)
(0.3046617141254879,-0.7114642798822567)
(-0.5185804951903765,-0.2132505081088532)
(-0.8914871478163475,0.6148295488460278)
(-0.8357236377418014,0.4226348504973224)
(-0.5927999876800894,-0.4894053235355851)
(-0.6548823458945980,-0.5666218685855186)
(-0.7223426183771832,0.3120093563984685)
(-0.6349611526390147,0.6736563718387326)
(-0.7469694391467135,-0.0890322401620016)
(-0.8781146175590570,-0.7088497806648313)
(-0.7071067811865458,-0.2297170862917404)
(-0.0481911542507279,0.6325797782708627)
(0.6280157596579379,1.0970829061874909)
(0.8338012705670784,0.8492155869420995)
(0.7791064803035984,0.2360245210973863)
(0.6078517038878423,-0.4374737062644212)
(0.6938606018536210,-0.8531436550156668)
(0.6955815276149304,-0.8203944432309702)
(0.6586252021874740,-0.7237232339343435)
(0.7554755450782305,-0.8115825862655530)
(0.9677215732348645,-0.6239557149517974)
(0.6108668565023537,-0.0009912982013006)
(-0.2847068111634631,0.7229440641357906)
(-0.7084665395880061,0.8764623525281698)
(-0.0635015942389875,0.7275761482510610)
(0.6680821863069715,0.6586825351516793)
(0.3370009687876401,0.7024652306601713)
(-0.5903689257832598,0.8446245213078298)
(-0.4537075194243878,0.8572286292575613)
(0.3836253826240930,0.4133301223645727)
(0.6933701049644535,-0.3223068570410644)
(-0.1007252889441431,-0.9052199332946530)
(-0.8277554899571403,-1.1075941196648500)
(-0.8404736118179377,-0.5983622504003577)
(-0.7122113555378432,0.1236816221861394)
(-0.7941522627910038,0.7071067811865507)
(-0.7324962628146217,1.0734974164466737)
(-0.1374689733413845,0.8169762910910750)
(0.5855406969197328,0.1859105866472130)
(0.8209901124367316,-0.5052597329540787)
(0.7148177247867178,-0.7995632822480372)
(0.7908118512195392,-0.7132884197387897)
(0.8310598714774079,-0.6576196305200163)
(0.5120341813481063,-0.6627269747546875)
(-0.1317185737460440,-0.7248473348709683)
(-0.8342387464276601,-0.7433326957348259)
(-1.0117428151745922,-0.6988088179541191)
(-0.6830631906252016,-0.6447870036714124)
(-0.0496493167458872,-0.7018115503521780)
(0.6268216812617312,-0.8423122971261450)
(1.0562783703981411,-0.7751439421763537)
(0.8934940939604602,-0.2779600807811768)
(0.1160225754692077,0.4530716867001114)
(-0.6148697821880798,0.8310598714774085)
(-0.5385555720752132,0.7465654588540422)
(0.1660619821700812,0.6337476363889513)
(0.9175544439114231,0.5997614540881510)
(1.0730678990218552,0.7614246198232547)
(0.5874898127459733,0.8974248435762493)
(-0.1620029992388107,0.6439233487217181)
(-0.7071067811865485,-0.2297170862917472)
(-0.8753493297718020,-0.7053665964869055)
(-0.7413656389617509,-0.1753610472819419)
(-0.5781012616071255,0.6157970034446946)
(-0.6847457019054176,0.3703520565426003)
(-0.7384269216649099,-0.5030670515982336)
(-0.7345174785029343,-0.4894053235355798)
(-0.6760480061107234,0.4226348504973299)
(-0.6472561073138065,0.7037232884142533)
(-0.7518294447613085,0.0251067953247396)
(-0.8610386715668071,-0.8076473718287081)
(-0.6490618132049073,-0.8490577307377738)
(-0.0284248295749484,-0.7096590683621956)
(0.6799206484900039,-0.8662259685774481)
(1.0327826171495387,-0.7674311355718404)
(0.8209673290632222,-0.1718362166767327)
(0.1675006850268193,0.5603829019039053)
(-0.4603554005991818,0.8211976571759888)
(-0.9881197590791330,0.7178577346793561)
